year,est,lwr,upr,log_est,se,se_natural,type,species
2009,140802195.6378134,81663084.09877166,242768914.6842697,18.76286659558519,0.27794081380157537,120305014.87635426,index,Pomatoschistus sp
2010,72460153.06885116,35565542.46645554,147628109.08095795,18.098547355888968,0.36309827254555993,60779130.97189592,index,Pomatoschistus sp
2012,344234343.1926685,238198465.59646988,497472906.622469,19.656833213616945,0.18787000338637513,301275936.63914007,index,Pomatoschistus sp
2013,165955461.29026973,101842635.14459588,270429129.1457964,18.92723000484016,0.24913244400068543,142870055.56044355,index,Pomatoschistus sp
2014,522020268.8956176,366875193.57060003,742773471.5059514,20.073216974395024,0.17994447908758857,454079821.91270006,index,Pomatoschistus sp
2015,265188794.1739956,178865407.7281688,393173266.1372661,19.395952561137378,0.2009263411978519,232455247.05542114,index,Pomatoschistus sp
2016,116868149.66381508,61235625.82521365,223042783.04966936,18.576556931353227,0.3297597491630541,97533895.53506151,index,Pomatoschistus sp
2017,177149558.4086924,110130443.20578344,284952690.0182911,18.992504896519005,0.24251916450910185,152571508.72671816,index,Pomatoschistus sp
2018,63933900.392455004,27825697.699831583,146898153.7673033,17.973360301244046,0.4244413562836832,52625013.64091529,index,Pomatoschistus sp
2019,159142282.22556508,92245792.97094211,274551989.5952256,18.88530921680345,0.27824081764312314,135077768.0981272,index,Pomatoschistus sp
2020,8555150.147645688,1587163.004059849,46114100.35487578,15.962044016018904,0.8594980943525887,6792152.232477309,index,Pomatoschistus sp
2021,28343634.54275603,9274657.637187127,86619005.30669764,17.159913031807434,0.5699680133284452,22935321.903829265,index,Pomatoschistus sp
2022,164502406.54417452,85314296.9738996,317192343.1204474,18.91843575751056,0.33499755920902546,137055142.14206585,index,Pomatoschistus sp
2023,29021937.528056223,9182919.071206788,91721690.16749358,17.183562568458886,0.5871061324959739,23486842.915019363,index,Pomatoschistus sp
2024,8591370.411069062,1089675.115079644,67737295.74874087,15.96626881686684,1.0535288826414935,6766193.375296483,index,Pomatoschistus sp
1993,270976951.5309564,166556320.29446632,440862935.31936103,19.417544325525775,0.2483210197484408,240627418.58548835,index,Ammodytidae
1994,307510624.2003048,185912896.13131294,508640260.9169734,19.544020194858895,0.2567554185724807,271537662.27714884,index,Ammodytidae
1995,197160013.6198621,115896494.55560175,335403336.5688656,19.0995262088817,0.27108566822757535,174391263.1345316,index,Ammodytidae
1996,36651821.32709713,13230690.351110572,101533326.75348227,17.41697368020807,0.5198687183955719,31148823.51993089,index,Ammodytidae
1997,213783687.33286157,121103994.35900095,377390235.6527664,19.18047525492057,0.2899619928999063,188079089.4677618,index,Ammodytidae
1998,150572388.90145987,88389202.86131291,256502418.45789707,18.829954515893363,0.27178771626666026,133030424.06803447,index,Ammodytidae
1999,159854941.2180192,96148853.88492073,265771261.94765788,18.88977734458461,0.25937682464584433,141915781.71476915,index,Ammodytidae
2000,214995606.9264751,133251329.5948592,346886677.5154988,19.186128152983066,0.24407619609248252,191900446.0442788,index,Ammodytidae
2001,90313846.82204816,49954691.18142685,163279778.83344376,18.31880134906832,0.30213533388591446,79096863.08171745,index,Ammodytidae
2002,338808503.3046014,222284026.9453795,516416782.11863303,19.640945618728875,0.21504430657790188,303462699.1176066,index,Ammodytidae
2003,138561438.67999524,83332070.45086798,230394759.00685656,18.746824385807603,0.259433518862814,123238062.70510662,index,Ammodytidae
2004,218063332.5350081,138274657.0531583,343892496.35233444,19.200296094777332,0.2324244550962757,195175142.39625737,index,Ammodytidae
2005,134827834.04640985,70062736.03121255,259460961.18124506,18.7195092191514,0.3339896021852109,117654386.87527254,index,Ammodytidae
2006,126726428.4822747,70939100.75534427,226385554.72051498,18.657541214559608,0.29603038016857697,111662976.2894316,index,Ammodytidae
2007,105396662.28345932,57628903.23949704,192758421.48736596,18.473241526430268,0.3080192998592905,92325836.32738921,index,Ammodytidae
2008,442808275.0259344,301582169.8923891,650168305.7105424,19.90864744657792,0.19597011764044067,398778805.3204525,index,Ammodytidae
2009,117427604.5924157,66124002.94034361,208536109.53881997,18.581332570533327,0.29301058868484353,103383509.0024454,index,Ammodytidae
2010,29292373.99684993,10550628.569650099,81326261.15183057,17.192837766965308,0.5210002728860306,24860210.929339193,index,Ammodytidae
2012,139266542.16513035,83810023.98874421,231418258.14578924,18.751900224438792,0.25910529588389886,124046089.86501867,index,Ammodytidae
2013,232579636.62592334,154291442.1878513,350591624.5645515,19.26474324746628,0.2093861913145616,210124232.18731803,index,Ammodytidae
2014,293111674.17503244,198692134.12998933,432399872.8680588,19.496064234894863,0.19836951999451835,265580388.83125564,index,Ammodytidae
2015,94434465.51346034,53555649.65210395,166515920.07086375,18.36341666526084,0.2893853244590805,83219087.86986953,index,Ammodytidae
2016,141686817.04643634,84574441.05805944,237366678.0838537,18.769129666080563,0.26326351217322863,125624679.20467357,index,Ammodytidae
2017,918243520.8206,713295833.178845,1182077792.0030282,20.637973186631097,0.12886276635853708,851046926.2292324,index,Ammodytidae
2018,344788287.485763,222945679.89718497,533219406.8177855,19.658441127168043,0.2224542995484277,307465260.6410054,index,Ammodytidae
2019,206190600.0996484,128154994.90561152,331743320.662342,19.144311542182383,0.24263739481688634,183165750.81207833,index,Ammodytidae
2020,422006282.8946432,268114927.17765048,664227481.3910433,19.860530760265387,0.23143511030727645,373182283.4041556,index,Ammodytidae
2021,314550640.0309695,193171187.53221017,512199083.1442924,19.566655638729376,0.24876390934222542,278085650.6393348,index,Ammodytidae
2022,272447394.19323695,159275287.3942358,466033267.4142861,19.42295610459909,0.273888437990738,238504376.1488319,index,Ammodytidae
2023,433476376.92586946,278599245.22459334,674451824.8830888,19.887347858872737,0.225546465254299,384036843.2826696,index,Ammodytidae
2024,241718403.5298521,133716993.75869338,436951093.2205035,19.303283984810022,0.30207077876414345,210630605.57455403,index,Ammodytidae
1993,215698568.61785555,136165786.73850197,341685482.2213293,19.189392475351532,0.234702656551562,200313918.57464334,index,Chirolophis ascanii
1994,166821028.00511572,96802102.97700071,287486062.0672219,18.932432107120075,0.2776851179068768,154053701.55111146,index,Chirolophis ascanii
1995,209937513.95650807,132614742.06658989,332344346.3329916,19.162320491816132,0.2343725134392321,194906638.45163953,index,Chirolophis ascanii
1996,139400718.92814696,78831689.96562849,246506962.44311202,18.75286321358118,0.29084084563219353,127976067.73078604,index,Chirolophis ascanii
1997,111826620.6942758,59742264.16498259,209319035.203745,18.532460200308282,0.3198578825434938,102998822.70297897,index,Chirolophis ascanii
1998,482729005.99974644,351132244.7283736,663645383.561303,19.99496598997872,0.16239712382965535,452016134.43751276,index,Chirolophis ascanii
1999,283434652.06302786,188584500.1274928,425990481.3798521,19.462492150375056,0.20787902871889588,262953317.64373022,index,Chirolophis ascanii
2000,40217225.41968904,18268850.906690005,88534589.76260968,17.50980595483942,0.40260837942858685,36689341.80514175,index,Chirolophis ascanii
2001,199907477.62593955,136160266.2157191,293499717.0720282,19.113365205604126,0.19593320626169133,186886643.61723265,index,Chirolophis ascanii
2002,113430531.19285792,65188257.13764442,197374281.37596118,18.54670114752574,0.2826129696615816,104502354.07095642,index,Chirolophis ascanii
2003,125108541.20508958,74865237.72742118,209070959.46791652,18.644692248127207,0.26199054024153373,116354667.4233355,index,Chirolophis ascanii
2004,206065051.4175737,133200473.54705325,318788697.104198,19.14370246048517,0.22262479959052034,191260161.98216158,index,Chirolophis ascanii
2005,111414904.9693217,56506528.28280494,219678706.63008586,18.528771673359536,0.346386435895948,102394625.70254983,index,Chirolophis ascanii
2006,143985642.51609772,83218299.21505111,249126279.2718061,18.785224147820106,0.27972265207339125,132702753.52710377,index,Chirolophis ascanii
2007,83965095.5060489,45618591.27193363,154545264.69951352,18.245911740761308,0.31127400852541964,77731342.7503392,index,Chirolophis ascanii
2008,48271935.19977388,22761420.16176333,102374092.27415454,17.692360897982287,0.383569974433693,44280533.438367955,index,Chirolophis ascanii
2009,342018100.39705414,239796306.2406707,487815608.3096896,19.65037421876398,0.1811634420968056,320841299.55037415,index,Chirolophis ascanii
2010,207165986.6745413,129309699.73168415,331898891.76055515,19.149030897898218,0.24046872464375943,191704258.09737366,index,Chirolophis ascanii
2012,172835696.95252264,112552828.93886305,265405840.28581178,18.96785197258596,0.21884009911199503,161238677.97154528,index,Chirolophis ascanii
2013,224053855.46264482,149689340.6487649,335362090.1134609,19.227397007094094,0.20578151852373647,208754569.77006492,index,Chirolophis ascanii
2014,65047284.98555271,33316147.213495195,126999957.61448161,17.99062502470438,0.3413696839593731,59677154.03943121,index,Chirolophis ascanii
2015,92565034.54839937,53934164.565182745,158865640.9165489,18.34342203163928,0.2755904444613723,85677142.96925873,index,Chirolophis ascanii
2016,59104198.64156664,29793026.07043606,117252483.47727299,17.894812522857404,0.3495103117481721,54203708.62394578,index,Chirolophis ascanii
2017,165508433.2682369,107089391.33762226,255796033.0220202,18.92453270778671,0.22212562807921402,154601692.58835703,index,Chirolophis ascanii
2018,243941022.85510164,152109769.99884075,391212363.4928045,19.312437044430762,0.24098608900003854,225454461.08532885,index,Chirolophis ascanii
2019,212940170.43718517,139224000.32015917,325687496.9943815,19.17652179425046,0.2168035180781307,197741645.5140971,index,Chirolophis ascanii
2020,126786522.59140232,71313980.397726,225409130.45617557,18.658015305607016,0.2935831298292565,116788300.7278794,index,Chirolophis ascanii
2021,345960939.9989059,223580093.4616592,535329286.93158215,19.66183643647285,0.22273683194519805,319547776.8486726,index,Chirolophis ascanii
2022,300543519.3732538,192277807.3550281,469770319.72535145,19.52110312465917,0.2278875176550327,278339090.9052452,index,Chirolophis ascanii
